STATEFP,STATEABBREV,STATENAME,TOTALPOP,URBANPOP,PCTURBANPOP,RURALPOP,PCTRURALPOP,I,J,K,L,M,N
01,AL,Alabama,5024279,2900880,57.7372395123758,2123399,42.2627604876242,4779736,2821804,59.04,1957932,40.96,
02,AK,Alaska,733391,475967,64.89948744939602,257424,35.10051255060397,710231,468893,66.02,241338,33.98,
04,AZ,Arizona,7151502,6385230,89.28515995660771,766272,10.71484004339228,6392017,5740659,89.81,651358,10.19,
05,AR,Arkansas,3011524,1670677,55.47613102203402,1340847,44.52386897796598,2915918,1637589,56.16,1278329,43.84,
06,CA,California,39538223,37259490,94.23663273890685,2278733,5.763367261093146,37253956,35373606,94.95,1880350,5.05,
08,CO,Colorado,5773714,4966936,86.02670655318224,806778,13.97329344681777,5029196,4332761,86.15000000000001,696435,13.85,
09,CT,Connecticut,3605944,3110153,86.25072935131548,495791,13.74927064868451,3574097,3144942,87.98999999999999,429155,12.01,
10,DE,Delaware,989948,817817,82.61211700008485,172131,17.38788299991515,897934,747949,83.3,149985,16.7,
11,DC,District of Columbia,689545,689545,100,0,0,601723,601723,100,0,0,
12,FL,Florida,21538187,19714806,91.53419459121605,1823381,8.465805408783943,18801310,17139844,91.16,1661466,8.84,
13,GA,Georgia,10711908,7933986,74.06697294263543,2777922,25.93302705736457,9687653,7272151,75.06999999999999,2415502,24.93,
15,HI,Hawaii,1455271,1252450,86.06300819572436,202821,13.93699180427563,1360301,1250489,91.93000000000001,109812,8.07,
16,ID,Idaho,1839106,1273437,69.24217527429087,565669,30.75782472570912,1567582,1106370,70.58,461212,29.42,
17,IL,Illinois,12812508,11137590,86.92747743064824,1674918,13.07252256935176,12830632,11353553,88.48999999999999,1477079,11.51,
18,IN,Indiana,6785528,4829686,71.17627397602662,1955842,28.82372602397337,6483802,4697100,72.44,1786702,27.56,
19,IA,Iowa,3190369,2014831,63.15354117345046,1175538,36.84645882654954,3046355,1950256,64.02,1096099,35.98,
20,KS,Kansas,2937880,2124059,72.29903876264517,813821,27.70096123735483,2853118,2116961,74.2,736157,25.8,
21,KY,Kentucky,4505836,2644856,58.69845240705609,1860980,41.3015475929439,4339367,2533343,58.38,1806024,41.62,
22,LA,Louisiana,4657757,3332237,71.54166694398182,1325520,28.45833305601817,4533372,3317805,73.19,1215567,26.81,
23,ME,Maine,1362359,526309,38.6321813853764,836050,61.3678186146236,1328361,513542,38.66,814819,61.34,
24,MD,Maryland,6177224,5288760,85.61709920184212,888464,14.38290079815788,5773552,5034331,87.2,739221,12.8,
25,MA,Massachusetts,7029917,6416895,91.27981169621206,613022,8.720188303787939,6547629,6021989,91.97,525640,8.029999999999999,
26,MI,Michigan,10077331,7404258,73.4743951548282,2673073,26.5256048451718,9883640,7369957,74.56999999999999,2513683,25.43,
27,MN,Minnesota,5706494,4101754,71.87870520848703,1604740,28.12129479151297,5303925,3886311,73.27,1417614,26.73,
