state,state_id,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
AL,1,1644.9,1651,1683.8,1726.9,1769.6,1815.4,1841,1879,1911.6,1934.2,1947.1,1923.5,1898.4,1891,1917.2,1960.8,1996.2,2022.9,2009.6,1905,1890.1,1890,1905.7,1924,1944.2,1971.2,1997,2018.9,2046.3,2077.6,1994.3,2039.7
AK,2,238,242.6,247.1,252.8,259.3,262,263.6,268.7,275,279.2,284.1,289.3,294.9,299.2,304.2,309.7,314.7,317.7,322,320.9,325,330.2,335.2,336.5,338.1,339.1,333.5,329.2,327.7,330,302.4,309.9
AZ,3,1483.1,1491.3,1517.2,1584.5,1692.1,1793.4,1892.3,1984.7,2074.8,2163,2242.9,2265.9,2267.5,2299.3,2384.7,2512.7,2639.2,2679.4,2622.4,2432.5,2386.2,2411.4,2462.4,2520.1,2570.3,2636.3,2708.9,2777.3,2857.7,2942.8,2853.5,2957.6
AR,4,923,935.4,962.1,992.8,1033.4,1068.4,1086.6,1103.9,1121.8,1141.4,1158.4,1153,1146.1,1144.3,1157.4,1177.2,1198.3,1204.3,1202.5,1164.6,1162.9,1169.4,1177.2,1177.6,1190,1213.4,1233.6,1249.8,1267.5,1282.3,1247,1282.4
CA,5,12539.9,12407.2,12208.1,12095.6,12212.5,12477.7,12805.6,13202.3,13688.5,14094.3,14586.9,14720,14600.6,14575.5,14748.6,15045.5,15326.2,15461.5,15299.7,14438.7,14283,14434.4,14761.5,15150.9,15575.8,16052,16480.3,16827,17172.4,17430.9,16187.9,16708.1
CO,6,1520.6,1544.7,1596.6,1670.4,1755.6,1834.4,1900.4,1979.7,2057.1,2132.1,2213.2,2226.2,2183.4,2152.1,2178.9,2225.1,2278.2,2330.3,2349.3,2244.4,2221.1,2257.3,2311.7,2380.5,2463.6,2541,2601.7,2660.3,2727.3,2790.1,2651.1,2744
CT,7,1627.5,1565.4,1535,1538.3,1551.6,1569.3,1590.1,1615.6,1650.8,1677.6,1700.7,1688.8,1672.8,1652.2,1658.8,1671.1,1693.1,1704.8,1708,1635.5,1617.3,1633.8,1648.2,1661.2,1673.2,1686.9,1692.5,1696.6,1699.5,1696.1,1570.7,1613
DE,8,347.3,341.6,341.2,348.5,355.7,366.1,376.1,387.7,400.1,413,420.3,419.8,415.1,415.4,424.9,432.7,437.9,438.7,436.4,416.4,413.5,416.8,419.3,428.3,437.8,447.9,452.5,456.3,461.6,466.8,440.8,449.6
FL,10,5363.3,5273.9,5337.3,5549.3,5776.5,5972.6,6159.1,6395,6610.9,6801,7053.8,7145.3,7153.7,7234.9,7483.2,7783.4,7985.2,8000.8,7717.4,7234.6,7175.1,7254.7,7399.7,7585.4,7827.8,8110.5,8386,8569.6,8780.5,8964.4,8524.200000000001,8912.9
GA,11,3026.6,2975.9,3029.2,3143.6,3299.7,3435.4,3559.7,3645.6,3771.3,3884.7,3978.5,3971,3896.7,3869.8,3922.6,4024.4,4110.9,4166,4121.6,3899.5,3860,3900.2,3953.9,4032.4,4144.7,4261.4,4371.3,4452.6,4535.7,4619.9,4409,4570.2
