Year,CPI_U
1947,22.33166666666667
1948,24.045
1949,23.80916666666667
1950,24.0625
1951,25.97333333333333
1952,26.56666666666667
1953,26.76833333333333
1954,26.865
1955,26.79583333333333
1956,27.19083333333333
1957,28.11333333333333
1958,28.88083333333334
1959,29.15000000000001
1960,29.585
1961,29.90166666666667
1962,30.25333333333333
1963,30.63333333333334
1964,31.03833333333333
1965,31.52833333333333
1966,32.47083333333333
1967,33.37499999999999
1968,34.79166666666667
1969,36.68333333333333
1970,38.84166666666666
1971,40.48333333333333
1972,41.80833333333333
1973,44.425
1974,49.31666666666666
1975,53.825
1976,56.93333333333334
1977,60.61666666666667
1978,65.24166666666666
1979,72.58333333333333
1980,82.38333333333334
1981,90.93333333333332
1982,96.53333333333336
1983,99.58333333333333
1984,103.9333333333333
1985,107.6
1986,109.6916666666667
1987,113.6166666666667
1988,118.275
1989,123.9416666666667
1990,130.6583333333333
1991,136.1666666666667
1992,140.3083333333333
1993,144.475
1994,148.225
1995,152.3833333333334
1996,156.8583333333333
1997,160.525
1998,163.0083333333334
1999,166.5833333333333
2000,172.1916666666667
2001,177.0416666666667
2002,179.8666666666667
2003,184
2004,188.9083333333333
2005,195.2666666666667
2006,201.5583333333334
2007,207.3441666666667
2008,215.25425
2009,214.5646666666667
2010,218.0761666666667
2011,224.923
2012,229.5860833333333
2013,232.95175
2014,236.715
2015,237.00175
2016,240.0054166666667
2017,245.121
2018,251.0989166666667
2019,255.6465
2020,258.83825
2021,270.9654166666667
2022,290.022375
