state_id,state,year,foreign_full_born_pew,foreign_pct_overall_pew,unauthorized_k_pew,majority_unauthorized_mexico,unauthorized_cms,unauthorized_cms_entry,eligible_naturalize_total_cms,eligible_naturalize_cms_entry,foreign_citizen_mpi,foreign_noncitizen_mpi,foreign_pct_female_mpi,unauthorized_mpi,unauthorized_female_pct_mpi,unauthorized_latin_pct_mpi
1,Alabama ,2019,163318,3.341291126545688,55,1,59906,28918,28146,6547,76963,97989,51,62000,44,78
2,Alaska ,2019,57127,7.746685145056261,5,0,3487,2809,9092,2565,37209,21169,55.1,10000,,
3,Arizona ,2019,961236,13.40328287257904,275,1,258621,86995,217106,33031,439287,537014,52.3,273000,47,85
4,Arkansas ,2019,147109,4.881139415858585,55,1,60028,22570,23983,3077,57649,96637,49.6,58000,45,77
5,California ,2019,10609674,26.82119961185169,2200,1,2251756,739655,2123366,301669,5662600,4901620,52.1,2739000,47,77
6,Colorado ,2019,557944,9.796115011612546,190,1,146382,57298,96840,20868,267715,279174,51.6,162000,45,81
7,Connecticut ,2019,522022,14.61155747880084,120,0,103613,48916,93876,26035,287487,240878,51.6,113000,45,36
8,Delaware ,2019,90373,9.344056014913599,30,1,29187,13269,14763,3153,47930,49340,,24000,45,65
9,District of Columbia ,2019,99022,14.09656134556662,25,0,,,,,,,,,,
10,Florida ,2019,4472190,20.99686257663095,775,0,777464,423840,758300,208472,2597783,1928645,52.8,772000,47,45
11,Georgia ,2019,1064448,10.11883197593036,400,0,330936,136046,176454,44957,502733,589147,50.3,339000,44,69
12,Hawaii ,2019,264546,18.62356044494474,45,0,31541,31541,51841,14167,160962,112050,58.9,51000,51,6
13,Idaho ,2019,106007,6.043012003137598,35,1,28053,6512,19607,5148,44416,58696,50.5,29000,45,79
14,Illinois ,2019,1806150,14.17579985370157,400,1,391464,132405,314915,52117,952604,813888,51,425000,46,71
15,Indiana,2019,358801,5.361738513463635,100,1,97228,41389,74690,24175,150567,208031,48.3,102000,45,66
16,Iowa ,2019,181110,5.738329512744186,50,1,40012,18096,32915,8894,82451,95318,49,37000,45,66
17,Kansas ,2019,207646,7.131900628883295,75,1,72240,32707,37532,9927,85891,123009,49.5,69000,46,81
