state,state_id,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
Alabama,1,11.90000000000001,17.3,21.7,28.09999999999999,30.2,43.8,54.8,58.6,60,60.4,55.4,59
Alaska,2,24.5,9.5,5.599999999999994,13.2,24,26.59999999999999,37.9,56.9,64.3,67.5,65.59999999999999,66
Arizona,3,15.90000000000001,31,36.1,34.40000000000001,34.8,55.5,74.5,79.59999999999999,83.8,87.5,88.2,89.8
Arkansas,4,8.5,12.90000000000001,16.59999999999999,20.59999999999999,22.2,33,42.8,50,51.6,53.5,52.5,56.2
California,5,52.3,61.8,67.90000000000001,73.3,71,80.7,86.40000000000001,90.90000000000001,91.3,92.59999999999999,94.40000000000001,95
Colorado,6,48.3,50.3,48.2,50.2,52.6,62.7,73.7,78.5,80.59999999999999,82.40000000000001,84.5,86.2
Connecticut,7,59.9,65.59999999999999,67.8,70.40000000000001,67.8,77.59999999999999,78.3,78.40000000000001,78.8,79.09999999999999,87.7,88
Delaware,8,46.4,48,54.2,51.7,52.3,62.6,65.59999999999999,72.2,70.59999999999999,73,80.09999999999999,83.3
District of Columbia,9,100,100,100,100,100,100,100,100,100,100,100,100
Florida,10,20.3,29.09999999999999,36.5,51.7,55.1,65.5,73.90000000000001,81.7,84.3,84.8,89.3,91.2
Georgia,11,15.59999999999999,20.59999999999999,25.09999999999999,30.8,34.40000000000001,45.3,55.3,60.3,62.4,63.2,71.59999999999999,75.09999999999999
Hawaii,12,25.5,30.7,36.1,53.7,62.5,69,76.5,83.09999999999999,86.5,89,91.5,91.90000000000001
Idaho,13,6.200000000000003,21.5,27.59999999999999,29.09999999999999,33.7,42.9,47.5,54.1,54,57.4,66.40000000000001,70.59999999999999
Illinois,14,54.3,61.7,67.90000000000001,73.90000000000001,73.59999999999999,77.59999999999999,80.7,83.2,83.3,84.59999999999999,87.8,88.5
Indiana,15,34.3,42.4,50.6,55.5,55.1,59.9,62.4,64.90000000000001,64.2,64.90000000000001,70.8,72.40000000000001
Iowa,16,25.59999999999999,30.59999999999999,36.4,39.6,42.7,47.7,53,57.2,58.6,60.6,61.1,64
